3,15
15,3
3,62
62,3
4,29
29,4
5,59
59,5
6,10
10,6
8,33
33,8
13,17
17,13
15,62
62,15
17,20
20,17
19,39
39,19
19,40
40,19
22,47
47,22
30,36
36,30
30,39
39,30
30,54
54,30
30,69
69,30
32,34
34,32
33,41
41,33
33,44
44,33
38,41
41,38
39,40
40,39
41,64
64,41
55,56
56,55
55,60
60,55
61,66
66,61
61,68
68,61
62,66
66,62
64,71
71,64
65,66
66,65
77,82
82,77
94,95
95,94
94,99
99,94
95,99
99,95
96,103
103,96
97,112
112,97
103,104
104,103
104,110
110,104
105,106
106,105
109,114
114,109
111,112
112,111
129,145
145,129
140,144
144,140
141,145
145,141
177,197
197,177
177,198
198,177
177,202
202,177
183,199
199,183
183,200
200,183
187,204
204,187
195,211
211,195
196,210
210,196
196,213
213,196
197,198
198,197
197,202
202,197
200,201
201,200
204,212
212,204
207,208
208,207
291,295
295,291
