epoch,agent,accuracy
0.0,0.0,0.47191011905670166
0.0,1.0,0.577464759349823
0.0,2.0,0.46987950801849365
0.0,3.0,0.3563218414783478
0.0,4.0,0.4545454680919647
0.0,5.0,0.3636363744735718
0.0,6.0,0.27848100662231445
0.0,7.0,0.5555555820465088
0.0,8.0,0.5
0.0,9.0,0.4482758641242981
100.0,0.0,0.932584285736084
100.0,1.0,0.9436619877815247
100.0,2.0,0.9638554453849792
100.0,3.0,0.8965517282485962
100.0,4.0,0.9350649118423462
100.0,5.0,0.9659090638160706
100.0,6.0,0.9240506291389465
100.0,7.0,0.9753086566925049
100.0,8.0,0.9555555582046509
100.0,9.0,0.931034505367279
200.0,0.0,0.932584285736084
200.0,1.0,0.9577465057373047
200.0,2.0,0.9638554453849792
200.0,3.0,0.9080459475517273
200.0,4.0,0.9220778942108154
200.0,5.0,0.9545454382896423
200.0,6.0,0.9240506291389465
200.0,7.0,0.9753086566925049
200.0,8.0,0.9555555582046509
200.0,9.0,0.931034505367279
300.0,0.0,0.9213483333587646
300.0,1.0,0.9577465057373047
300.0,2.0,0.9638554453849792
300.0,3.0,0.9080459475517273
300.0,4.0,0.9220778942108154
300.0,5.0,0.9431818127632141
300.0,6.0,0.9113923907279968
300.0,7.0,0.9753086566925049
300.0,8.0,0.9666666388511658
300.0,9.0,0.931034505367279
400.0,0.0,0.932584285736084
400.0,1.0,0.9577465057373047
400.0,2.0,0.9518072009086609
400.0,3.0,0.9080459475517273
400.0,4.0,0.9220778942108154
400.0,5.0,0.9545454382896423
400.0,6.0,0.9240506291389465
400.0,7.0,0.9753086566925049
400.0,8.0,0.9555555582046509
400.0,9.0,0.931034505367279
500.0,0.0,0.9438202381134033
500.0,1.0,0.9577465057373047
500.0,2.0,0.9518072009086609
500.0,3.0,0.9195402264595032
500.0,4.0,0.9220778942108154
500.0,5.0,0.9431818127632141
500.0,6.0,0.9240506291389465
500.0,7.0,0.9753086566925049
500.0,8.0,0.9666666388511658
500.0,9.0,0.9195402264595032
600.0,0.0,0.9213483333587646
600.0,1.0,0.9577465057373047
600.0,2.0,0.9638554453849792
600.0,3.0,0.9080459475517273
600.0,4.0,0.9220778942108154
600.0,5.0,0.9431818127632141
600.0,6.0,0.9240506291389465
600.0,7.0,0.9753086566925049
600.0,8.0,0.9666666388511658
600.0,9.0,0.931034505367279
700.0,0.0,0.9550561904907227
700.0,1.0,0.9577465057373047
700.0,2.0,0.9638554453849792
700.0,3.0,0.9080459475517273
700.0,4.0,0.9220778942108154
700.0,5.0,0.9431818127632141
700.0,6.0,0.9113923907279968
700.0,7.0,0.9753086566925049
700.0,8.0,0.9666666388511658
700.0,9.0,0.931034505367279
800.0,0.0,0.9213483333587646
800.0,1.0,0.9577465057373047
800.0,2.0,0.9518072009086609
800.0,3.0,0.9080459475517273
800.0,4.0,0.9220778942108154
800.0,5.0,0.9431818127632141
800.0,6.0,0.9240506291389465
800.0,7.0,0.9753086566925049
800.0,8.0,0.9444444179534912
800.0,9.0,0.931034505367279
900.0,0.0,0.9438202381134033
900.0,1.0,0.9577465057373047
900.0,2.0,0.9518072009086609
900.0,3.0,0.8965517282485962
900.0,4.0,0.9220778942108154
900.0,5.0,0.9431818127632141
900.0,6.0,0.9113923907279968
900.0,7.0,0.9753086566925049
900.0,8.0,0.9555555582046509
900.0,9.0,0.931034505367279
999.0,0.0,0.9213483333587646
999.0,1.0,0.9577465057373047
999.0,2.0,0.9638554453849792
999.0,3.0,0.9080459475517273
999.0,4.0,0.9220778942108154
999.0,5.0,0.9431818127632141
999.0,6.0,0.9240506291389465
999.0,7.0,0.9753086566925049
999.0,8.0,0.9555555582046509
999.0,9.0,0.931034505367279
