epoch,agent,accuracy
0,0,0.078651689
0,1,0.014084507
0,2,0.084337346
0,3,0.114942528
0,4,0.090909094
0,5,0.125
0,6,0.06329114
0,7,0.012345679
0,8,0.077777781
0,9,0.068965517
100,0,0.775280893
100,1,0.633802831
100,2,0.590361416
100,3,0.597701132
100,4,0.558441579
100,5,0.636363626
100,6,0.506329119
100,7,0.506172836
100,8,0.555555582
100,9,0.597701132
200,0,0.865168512
200,1,0.788732409
200,2,0.746987939
200,3,0.689655185
200,4,0.792207778
200,5,0.761363626
200,6,0.772151887
200,7,0.814814806
200,8,0.855555534
200,9,0.804597676
300,0,0.921348333
300,1,0.802816927
300,2,0.855421662
300,3,0.74712646
300,4,0.818181813
300,5,0.852272749
300,6,0.797468364
300,7,0.851851881
300,8,0.899999976
300,9,0.827586234
400,0,0.910112381
400,1,0.887323916
400,2,0.891566277
400,3,0.804597676
400,4,0.857142866
400,5,0.886363626
400,6,0.83544302
400,7,0.864197552
400,8,0.922222197
400,9,0.896551728
500,0,0.898876429
500,1,0.915492952
500,2,0.915662646
500,3,0.816091955
500,4,0.857142866
500,5,0.897727251
500,6,0.860759497
500,7,0.901234567
500,8,0.933333337
500,9,0.908045948
600,0,0.887640476
600,1,0.915492952
600,2,0.903614461
600,3,0.827586234
600,4,0.883116901
600,5,0.909090936
600,6,0.873417735
600,7,0.938271582
600,8,0.933333337
600,9,0.908045948
700,0,0.898876429
700,1,0.915492952
700,2,0.903614461
700,3,0.827586234
700,4,0.883116901
700,5,0.897727251
700,6,0.873417735
700,7,0.938271582
700,8,0.933333337
700,9,0.908045948
800,0,0.898876429
800,1,0.915492952
800,2,0.903614461
800,3,0.827586234
800,4,0.883116901
800,5,0.920454562
800,6,0.886075974
800,7,0.938271582
800,8,0.922222197
800,9,0.908045948
900,0,0.898876429
900,1,0.915492952
900,2,0.903614461
900,3,0.850574732
900,4,0.870129883
900,5,0.920454562
900,6,0.886075974
900,7,0.938271582
900,8,0.933333337
900,9,0.908045948
